店名,網址,星級,評論,回復,地址
越南小吃美食,https://www.google.com.tw/maps/place/%E8%B6%8A%E5%8D%97%E5%B0%8F%E5%90%83%E7%BE%8E%E9%A3%9F/data=!4m5!3m4!1s0x346916e5e7080569:0x1d452603e9a9df22!8m2!3d24.2270407!4d120.6558159?authuser=0&hl=zh-TW&rclk=1,4.8,737,"['真材實料！牛肉滿滿，湯頭很清甜。老闆娘很親切介紹家鄉料理，多了一份人情味。', '越南法國麵包香脆可口裡面的醃蘿蔔及青木瓜絲味道恰到好處與香菜及鹹豬肉搭配很好吃', '烤肉涼麵好吃，湯類河粉不錯。但近來品質明顯下降，扣1星，繼續觀察。']",428台中市大雅區神林南路104號
柚一鍋大雅店 -大雅平價美食小吃 ｜人氣排隊名店 ｜大雅必吃午晚餐 ｜ 打卡網美鍋物 ｜ 百元小火鍋 ｜ 小農自產蔬菜 ｜飲品、咖啡、爆米花、白飯、自助吧內用吃到飽,https://www.google.com.tw/maps/place/%E6%9F%9A%E4%B8%80%E9%8D%8B%E5%A4%A7%E9%9B%85%E5%BA%97+-%E5%A4%A7%E9%9B%85%E5%B9%B3%E5%83%B9%E7%BE%8E%E9%A3%9F%E5%B0%8F%E5%90%83+%EF%BD%9C%E4%BA%BA%E6%B0%A3%E6%8E%92%E9%9A%8A%E5%90%8D%E5%BA%97+%EF%BD%9C%E5%A4%A7%E9%9B%85%E5%BF%85%E5%90%83%E5%8D%88%E6%99%9A%E9%A4%90+%EF%BD%9C+%E6%89%93%E5%8D%A1%E7%B6%B2%E7%BE%8E%E9%8D%8B%E7%89%A9+%EF%BD%9C+%E7%99%BE%E5%85%83%E5%B0%8F%E7%81%AB%E9%8D%8B+%EF%BD%9C+%E5%B0%8F%E8%BE%B2%E8%87%AA%E7%94%A2%E8%94%AC%E8%8F%9C+%EF%BD%9C%E9%A3%B2%E5%93%81%E3%80%81%E5%92%96%E5%95%A1%E3%80%81%E7%88%86%E7%B1%B3%E8%8A%B1%E3%80%81%E7%99%BD%E9%A3%AF%E3%80%81%E8%87%AA%E5%8A%A9%E5%90%A7%E5%85%A7%E7%94%A8%E5%90%83%E5%88%B0%E9%A3%BD/data=!4m5!3m4!1s0x34691749a36842ab:0x58a2566d9a17bb09!8m2!3d24.2293599!4d120.6540165?authuser=0&hl=zh-TW&rclk=1,4.5,814,"['剝皮辣椒鍋，麻辣鍋推推!! 份量很能吃飽，冰淇淋來個珍珠口味超讚~', '好吃，飲料吧選擇多。但廁所位置不佳，建議做個玄關擋一下，區隔開用餐區', '整體都不錯 不過火鍋湯底偏鹹 （藥膳 四川麻辣） 衛生環境 可以再做加強']",428台中市大雅區428民生路一段361號
復興餐廳,https://www.google.com.tw/maps/place/%E5%BE%A9%E8%88%88%E9%A4%90%E5%BB%B3/data=!4m5!3m4!1s0x3469169cea439d9b:0xa2eec6336d1e6e0d!8m2!3d24.2308002!4d120.6240216?authuser=0&hl=zh-TW&rclk=1,4.2,2284,"['眷村特色料理，香酥鴨，麻辣牛肚，魚香烘蛋，蔥油餅，好吃，炒飯不輸頂泰豐', '口味偏淡，水餃、蝦仁煎蛋、四季豆隨便都被大雅的小吃店比下去。炸肥腸又腥又臭。', '在地好滋味的老店物美價廉 份量足夠吃得很好過癮 在中科園區裡面']",428台中市大雅區月祥路301號號
武漢熱乾麵,https://www.google.com.tw/maps/place/%E6%AD%A6%E6%BC%A2%E7%86%B1%E4%B9%BE%E9%BA%B5/data=!4m5!3m4!1s0x346916ede40be771:0x16322a40f107cfd5!8m2!3d24.2269708!4d120.6481996?authuser=0&hl=zh-TW&rclk=1,4.3,549,"['座位較少停車比較不方便 但在價位上普通 東西美味 樣樣皆為中國味 老闆娘很美哦', '餐點有特色，麻辣湯的花椒味很香～ 老闆很親切', '面體軟硬適中，水餃內的肉新鮮，就是價格騙貴，麵調味料偏酸，小孩子不喜歡']",42857台中市大雅區學府路392號
湯王朝拉麵,https://www.google.com.tw/maps/place/%E6%B9%AF%E7%8E%8B%E6%9C%9D%E6%8B%89%E9%BA%B5/data=!4m5!3m4!1s0x346916ef2d32eeb9:0x3ce1353b88c49260!8m2!3d24.2282257!4d120.6519341?authuser=0&hl=zh-TW&rclk=1,4.3,811,"['喜歡肉滿、蝦滿和蔥燒，麵條吃起來相當滑順，湯頭鹹中帶甘，內部用餐環境尚可。', '平價台式拉麵，服務非常親切，是愛心店家，環境又很乾淨，碗筷都好仔細的洗，非常棒💖', 'cp值高，料也給得很大方，但建議餐具用久了要換，有的都掉漆缺角，衛生需稍微再加強']",428台中市大雅區民生路一段243號
老趙傳統麵食館,https://www.google.com.tw/maps/place/%E8%80%81%E8%B6%99%E5%82%B3%E7%B5%B1%E9%BA%B5%E9%A3%9F%E9%A4%A8/data=!4m5!3m4!1s0x346916a258dc4aa7:0xf44029dd3677721b!8m2!3d24.2407106!4d120.6285058?authuser=0&hl=zh-TW&rclk=1,4.1,1174,"['眷村美食？-必點的有-炒白菜,小黃瓜,乾麵,混搭水餃,蔥油餅,牛肉捲餅,牛肉麵.', '牛肉麵上桌前先加酸菜，湯頭偏酸。牛肉咬起來口感乾柴，不是我喜歡的類型。', '東西好吃，小菜很多。酸辣湯料多夠味。對面有收費停車場。']",428台中市大雅區月祥路841號
尊品原汁牛肉麵,https://www.google.com.tw/maps/place/%E5%B0%8A%E5%93%81%E5%8E%9F%E6%B1%81%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m5!3m4!1s0x346916eee1d9e45f:0x383273c23d833bc4!8m2!3d24.2247479!4d120.6537143?authuser=0&hl=zh-TW&rclk=1,4.2,589,"['原汁牛肉麵 110元 細麵 湯頭偏鹹 但味道還算喜歡 自助區有酸菜和飲料自取', '佛心店家，料多實在又大碗價錢很合理，餐廳裝潢也很質感👍🏻', '這家牛肉麵不會像其他家一樣很死鹹，份量也很夠，在配上蜂蜜水，真的會是很滿足的一餐']",428台中市大雅區雅環路二段22號
大雅丹水滾鍋物總店,https://www.google.com.tw/maps/place/%E5%A4%A7%E9%9B%85%E4%B8%B9%E6%B0%B4%E6%BB%BE%E9%8D%8B%E7%89%A9%E7%B8%BD%E5%BA%97/data=!4m5!3m4!1s0x346916eec208e585:0xf551404dd6b9042c!8m2!3d24.2269919!4d120.6490161?authuser=0&hl=zh-TW&rclk=1,4.3,737,"['環境衞生舒適，滷味，炸物，火鍋湯底天然，推薦冰淇淋，一吃就知道不是便宜的奶油做的', '食材新鮮好吃、環境乾淨清潔、服務人員親切、還有小孩的遊樂區、非常推薦的餐廳', '餐點CP值高，裡面有小遊戲區可以讓小朋友放電，停車場不大，尖峰時段可能會停滿。']",42866台中市大雅區民生路一段121號
石全石美石鍋專賣店,https://www.google.com.tw/maps/place/%E7%9F%B3%E5%85%A8%E7%9F%B3%E7%BE%8E%E7%9F%B3%E9%8D%8B%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m5!3m4!1s0x346916ed90d62529:0xf8bcc5eb5f871f31!8m2!3d24.225295!4d120.646877?authuser=0&hl=zh-TW&rclk=1,4.1,997,"['好吃啊 部隊鍋+雞肉石鍋拌飯+牛肉石鍋拉麵 海鮮煎餅+兩樣小菜 超級飽～～', '拌飯很豐盛肉也多；部隊鍋湯頭微辣可刺激食慾，麵的口感也很不錯👍', '東西美味好吃 老闆的韓式國語很可愛服務態度也很好 好餐廳值得推薦給大家']",428台中市大雅區中清北街57號
熱火美式牛排,https://www.google.com.tw/maps/place/%E7%86%B1%E7%81%AB%E7%BE%8E%E5%BC%8F%E7%89%9B%E6%8E%92/data=!4m5!3m4!1s0x346916ec2bb1b8fb:0x2c3f9fb97b899afb!8m2!3d24.2268209!4d120.6485323?authuser=0&hl=zh-TW&rclk=1,4.3,928,"['水果,飲料,咖啡,薯條,玉米濃湯無限量供應， 下次一定會再光臨', '服務很好、鍋巴飯精心、連刀叉設計都別有用心。若有喜好的口感嚼勁，建議事前多洽詢。', '好吃，有收服務費，但服務生很會觀察細節哦!! 真的很棒😉 謝謝店家給的菜單']",428台中市大雅區民生路一段101號
帝一食補碳燒薑母鴨(大雅店),https://www.google.com.tw/maps/place/%E5%B8%9D%E4%B8%80%E9%A3%9F%E8%A3%9C%E7%A2%B3%E7%87%92%E8%96%91%E6%AF%8D%E9%B4%A8(%E5%A4%A7%E9%9B%85%E5%BA%97)/data=!4m5!3m4!1s0x346916f20904c969:0x92ed88ec5c03a081!8m2!3d24.2210908!4d120.648511?authuser=0&hl=zh-TW&rclk=1,4.2,1732,"['台中老字號名店，位置蠻多的，炭火薑母鴨。口味較清淡，生意不錯。', '座位很多，湯頭美味，由於是火鍋高溫湯品，希望店家能多提供不銹鋼餐具', '料好味美CP值高，加上店家無限量提供豆腐乳，搭配薑母鴨料理乃是絕配。']",428台中市大雅區中清東路78號
炒飯超人大雅店,https://www.google.com.tw/maps/place/%E7%82%92%E9%A3%AF%E8%B6%85%E4%BA%BA%E5%A4%A7%E9%9B%85%E5%BA%97/data=!4m5!3m4!1s0x346916edbb246353:0x69fc39a328b97cce!8m2!3d24.2259923!4d120.6470281?authuser=0&hl=zh-TW&rclk=1,4.2,1004,"['炒飯種類選擇多，雖然客人很多，但上餐速度滿快的。泡菜牛肉跟打拋豬都好吃。', '用餐🍴區舒適！炒飯粒粒分明，出餐速度快，餐食符合大人👩小孩、優質店家', '跨年來炒飯超人跨年一下吧 #日式鮭魚炒飯 #沙茶海鮮燴飯 #金針排骨湯']",428台中市大雅區民生路一段48號
肉鮮生韓式烤肉大雅店,https://www.google.com.tw/maps/place/%E8%82%89%E9%AE%AE%E7%94%9F%E9%9F%93%E5%BC%8F%E7%83%A4%E8%82%89%E5%A4%A7%E9%9B%85%E5%BA%97/data=!4m5!3m4!1s0x346917bbb63e0cbd:0x8045908877c2252d!8m2!3d24.2188502!4d120.6480735?authuser=0&hl=zh-TW&rclk=1,4.7,1185,"['餐點內容，雖然沒有海鮮類～ 但韓式燒肉的特色， 豬五花、泡菜、生菜都沒有少！', '肉類款式多 還有一些熟食可食用 飲料 拿鐵咖啡好喝 小菜也不錯吃', '老闆很親切，舉凡壽星贈肉、女廁門有問題都是立即排除，推薦給大家。']",42878台中市大雅區中清路三段985號
養鍋 Yang Guo 石頭涮涮鍋 (台中大雅店),https://www.google.com.tw/maps/place/%E9%A4%8A%E9%8D%8B+Yang+Guo+%E7%9F%B3%E9%A0%AD%E6%B6%AE%E6%B6%AE%E9%8D%8B+(%E5%8F%B0%E4%B8%AD%E5%A4%A7%E9%9B%85%E5%BA%97)/data=!4m5!3m4!1s0x346917ee51b7895f:0xe95908a5e2655196!8m2!3d24.2254215!4d120.6459861?authuser=0&hl=zh-TW&rclk=1,4.7,1512,"['湯頭為這間店的賣點，有比較多種特色湯底可以選擇，菜盤部分則是一般火鍋店的樣式', '服務態度極佳 配菜新鮮 當月壽星贈雞柳 蛤蜊 牛五花 豬五花四選一哦~', '人員服務親切，用餐環境佳，只能付現金無法刷卡，二樓也有用餐區，餐點價位平價']",428台中市大雅區中清東路271號
六和堂水餃,https://www.google.com.tw/maps/place/%E5%85%AD%E5%92%8C%E5%A0%82%E6%B0%B4%E9%A4%83/data=!4m5!3m4!1s0x346916f72234a9f9:0x51e352f868c9042c!8m2!3d24.2165228!4d120.6520182?authuser=0&hl=zh-TW&rclk=1,4.1,1365,"['主食水餃鍋貼好吃，推薦芋頭米粉也好吃!份量大適合人多，也可以嚐嚐竹管仔筍，蒸蛋。', '食物好吃，菜色豐富，價格親民，有停車場，還有飯後甜點。', '東西新鮮好吃， 主廚特色小菜非常不錯， 算是中間價位又適合全家聚餐的好地方']",428台中市大雅區雅環路一段38號
胖老爹美式炸雞-台中大雅店,https://www.google.com.tw/maps/place/%E8%83%96%E8%80%81%E7%88%B9%E7%BE%8E%E5%BC%8F%E7%82%B8%E9%9B%9E-%E5%8F%B0%E4%B8%AD%E5%A4%A7%E9%9B%85%E5%BA%97/data=!4m5!3m4!1s0x346916ef1422d20d:0xb67b4759c61dfa3!8m2!3d24.2266119!4d120.6527791?authuser=0&hl=zh-TW&rclk=1,4.7,1276,"['口味都偏鹹（雞排跟薯條），炸得算香，但我都要配白飯吃不然真的太鹹了', '電話預約到現場還等了快15分，出餐流程和速度有改善空間，不難吃但是並沒有驚艷。', '老闆超級Nice，等候食物的過程中，還有提供飲料給顧客飲用，食物很好吃😋']",428台中市大雅區雅環路二段108號
築間幸福鍋物 台中大雅店,https://www.google.com.tw/maps/place/%E7%AF%89%E9%96%93%E5%B9%B8%E7%A6%8F%E9%8D%8B%E7%89%A9+%E5%8F%B0%E4%B8%AD%E5%A4%A7%E9%9B%85%E5%BA%97/data=!4m5!3m4!1s0x346917457215a135:0xe57d8c1438d3db1!8m2!3d24.2237235!4d120.6459974?authuser=0&hl=zh-TW&rclk=1,4.5,1301,"['平價火鍋的頂級享受，擺盤很美，菜盤的菜跟料都很好，裝潢氣氛不錯！冰淇淋也很好吃！', '服務員非常親切 餐間服務周到 食材品質非常新鮮，肉品非常新鮮 店內也很乾淨。', '宵夜首選的鍋物，營業到凌晨4點，東西新鮮好吃，服務人員親切熱情，給我很棒的感受~']",42878台中市大雅區中清路三段1163號
赤腳ㄚ生態農莊,https://www.google.com.tw/maps/place/%E8%B5%A4%E8%85%B3%E3%84%9A%E7%94%9F%E6%85%8B%E8%BE%B2%E8%8E%8A/data=!4m5!3m4!1s0x3469170f8da1afbd:0x80fb0d4dc007b225!8m2!3d24.2159314!4d120.6705875?authuser=0&hl=zh-TW&rclk=1,4.4,6484,"['帶長輩走走這個農場很放鬆，餐點部分，素食披薩不太好吃，裡面的素火腿有點酸掉...', '環境優空間也夠大，溜小孩的地方，還有生態導覽和動物植物介紹，適合全家大小來玩', '【設施】：有投幣式遊樂器材，溜滑梯，玩水區，沙坑，益智玩具，球池。']",428台中市大雅區雅潭路三段500號
星野肉肉鍋PLUS-台中麗寶OUTLET店,https://www.google.com.tw/maps/place/%E6%98%9F%E9%87%8E%E8%82%89%E8%82%89%E9%8D%8BPLUS-%E5%8F%B0%E4%B8%AD%E9%BA%97%E5%AF%B6OUTLET%E5%BA%97/data=!4m5!3m4!1s0x346911ecd18e0dcf:0x991cc5c9af3bf257!8m2!3d24.3242977!4d120.6991781?authuser=0&hl=zh-TW&rclk=1,4.2,1212,"['服務人員筱茜服務親切，介紹詳盡，很為客人設想，店內食材新鮮，選擇性多，值得力推', '服務很好 價格合理不到五百（平日午餐） 有熟食區 牛丼很好吃 評論送牛肉盤', '湯頭超鹹鹹鹹 青菜菇類新鮮 肉類一分錢一分貨 soso']",421台中市后里區福容路201號二期C區2F
舊社里彩繪,https://www.google.com.tw/maps/place/%E8%88%8A%E7%A4%BE%E9%87%8C%E5%BD%A9%E7%B9%AA/data=!4m5!3m4!1s0x3469107b1649083f:0x1a30b72418a662b3!8m2!3d24.2946734!4d120.7017144?authuser=0&hl=zh-TW&rclk=1,4.1,540,"['有特色 地社區 彩繪作品分佈在不同的地方，最好是騎腳踏車去看比較省力方便。', '很用心的設計與規劃。可以來走走看看。附近有山腳國小日式宿舍走走', '可以在田園鄉間散步，又能與3D圖畫拍照，很棒，車可停在天靈宮或後方活動中心']",421台中市后里區舊社路93號3號
中社觀光花市花海,https://www.google.com.tw/maps/place/%E4%B8%AD%E7%A4%BE%E8%A7%80%E5%85%89%E8%8A%B1%E5%B8%82%E8%8A%B1%E6%B5%B7/data=!4m5!3m4!1s0x34691aa35d34c91b:0x1be503eada28c92e!8m2!3d24.3351302!4d120.7288471?authuser=0&hl=zh-TW&rclk=1,4.1,13091,"['停車免費，買花草盆景的好地方，停車場內有些攤販小吃，烤肉區排風不佳油煙重', '單純賞花門票算貴，烤肉用餐含門票，不過食材普通，曾遇過別桌遊客自己帶豬肋排來烤', '烤肉的好去處 但是肉品跟菜選項不多 雞翅跟小雞腿不錯']",421台中市后里區三豐路五段333號
星巴克麗寶鐘樓門市,https://www.google.com.tw/maps/place/%E6%98%9F%E5%B7%B4%E5%85%8B%E9%BA%97%E5%AF%B6%E9%90%98%E6%A8%93%E9%96%80%E5%B8%82/data=!4m5!3m4!1s0x346911ce81823e05:0xf8f4ab44e9834fbc!8m2!3d24.3262443!4d120.7022884?authuser=0&hl=zh-TW&rclk=1,4.5,1087,"['特色是鐘樓式造型，來這邊點一杯咖啡搭配蛋糕或輕食，好好欣賞內部挑高裝潢', '鐘樓設計很美，用餐環境舒適，很喜歡跟家人來喝喝咖啡吃吃點心，店員親切', '服務親切，景觀優良，晚上熱鬧的鐘聲、水舞、燈光秀，是打卡、約會的好景點。']",42145台中市后里區月眉東路二段181號
麗寶樂園,https://www.google.com.tw/maps/place/%E9%BA%97%E5%AF%B6%E6%A8%82%E5%9C%92/data=!4m5!3m4!1s0x34691019f254b6d5:0x7184608a09f163a9!8m2!3d24.3230546!4d120.695524?authuser=0&hl=zh-TW&rclk=1,4.2,25252,"['學生畢旅。校外教學最愛的地方，遊客吃東西建議到outlet的3樓美食區吃，有冷氣', '福容飯店是很不錯，房間品質也好，早餐選項多，補食物速度也快。', '台灣很好逛的outlet，裡面有許多商家品牌名店，還有餐飲店、電影院等~']",42145台中市后里區福容路8號
后里馬場,https://www.google.com.tw/maps/place/%E5%90%8E%E9%87%8C%E9%A6%AC%E5%A0%B4/data=!4m5!3m4!1s0x3469107540335827:0x82aad440bca2be57!8m2!3d24.2986374!4d120.7358219?authuser=0&hl=zh-TW&rclk=1,4.1,10650,"['台中市花博館很好逛下午四點可以坐接駁車至森林園區逛到太陽下山可以看機械花燈光景秀', '很驚艷的旅遊景點 騎腳踏車過隧道與吊橋 建議體力不佳的人，租車選擇電動車', '不錯的散步活動地方。內部咖啡餐飲品質還有提升空間，加油!']",421台中市后里區寺山路41號
臺中花博后里森林園區,https://www.google.com.tw/maps/place/%E8%87%BA%E4%B8%AD%E8%8A%B1%E5%8D%9A%E5%90%8E%E9%87%8C%E6%A3%AE%E6%9E%97%E5%9C%92%E5%8D%80/data=!4m5!3m4!1s0x34691abd420a9289:0xefccc01d34de88ee!8m2!3d24.3039813!4d120.7249311?authuser=0&hl=zh-TW&rclk=1,4.3,2677,"['至於交通方面，建議搭乘接駁車或火車前往，因為附近的道路有交通管制，停車不便。', '很棒的燈會，可惜主辦單位沒有規劃汽車停車場，該學學桃園', '個人台中花搏最推景點，好逛有特色景點，是攜家帶眷花半天踏青的好去處']",421台中市后里區大山路
福容大飯店 麗寶樂園,https://www.google.com.tw/maps/place/%E7%A6%8F%E5%AE%B9%E5%A4%A7%E9%A3%AF%E5%BA%97+%E9%BA%97%E5%AF%B6%E6%A8%82%E5%9C%92/data=!4m5!3m4!1s0x3469101a2d228743:0xadabe7cc6c38005f!8m2!3d24.3236467!4d120.6965099?authuser=0&hl=zh-TW&rclk=1,4.3,4030,[],421台中市后里區福容路88號
STARBUCKS 星巴克 (泰安南門市),https://www.google.com.tw/maps/place/STARBUCKS+%E6%98%9F%E5%B7%B4%E5%85%8B+(%E6%B3%B0%E5%AE%89%E5%8D%97%E9%96%80%E5%B8%82)/data=!4m5!3m4!1s0x34690f8f363d5ac5:0x7155d64c24fbef57!8m2!3d24.3300868!4d120.7114368?authuser=0&hl=zh-TW&rclk=1,4.3,778,"['泰安休息站連鎖的咖啡店，休息時來杯好喝的咖啡，提神放鬆再上路', '蠻有特色的建築 是拍美照的地方 記得只有南下泰安服務區才可以看到 不是北上', '開幕期間雖然客人很多，但服務人員還是很細心的介紹優惠活動']",42144台中市后里區安眉路113號
萌芳花卉農場,https://www.google.com.tw/maps/place/%E8%90%8C%E8%8A%B3%E8%8A%B1%E5%8D%89%E8%BE%B2%E5%A0%B4/data=!4m5!3m4!1s0x34690548c707a161:0x93516470a7e29ea8!8m2!3d24.3379913!4d120.7314535?authuser=0&hl=zh-TW&rclk=1,4.3,1233,"['最喜歡的農場 環境很乾淨 植物種類分類 動線規劃的很棒 店員也超好的有問必答的', '以蘭花為主，場地規劃的很好，人員也解說的非常詳細，價格公道合理，感恩！', '蝴蝶蘭專門的店家，品種非常的多。交通便利，適合全家一同賞花~']",421台中市后里區三豐路五段562號
麗寶國際賽車場,https://www.google.com.tw/maps/place/%E9%BA%97%E5%AF%B6%E5%9C%8B%E9%9A%9B%E8%B3%BD%E8%BB%8A%E5%A0%B4/data=!4m5!3m4!1s0x3469103c3db5d8d7:0x166e9754c1b9c9c1!8m2!3d24.3172859!4d120.6850434?authuser=0&hl=zh-TW&rclk=1,4.4,2987,"['迎賓大樓樓下有些適合國小中低年級以下的交通設施，是溜小孩的好所在！', '國際專業賽道活動場地 有特色旅館 跟旁邊的遊樂園 可以規劃國內兩日遊的地點', '飯店新，開放大空間用餐區，房間對外開放都有景觀！']",421台中市后里區月眉東路一段185號
利眾醉鵝塩水鵝,https://www.google.com.tw/maps/place/%E5%88%A9%E7%9C%BE%E9%86%89%E9%B5%9D%E5%A1%A9%E6%B0%B4%E9%B5%9D/data=!4m5!3m4!1s0x34691aa0a7b9e13f:0x3a419e6cfc09b18d!8m2!3d24.3104819!4d120.7120958?authuser=0&hl=zh-TW&rclk=1,4.2,616,"['鵝肉份量夠，天冷吃太冰沒味道，上菜速度超快，味道還不錯，炒飯很濕，', '出餐的速度非常的快速，不用等很久 店家的對面都有停車格，可以停放車子', '用餐環境：衛生普普，位子不多，來吃建議打電話預約。']",421台中市后里區甲后路一段871號
